date,temp,hum,percp,wspeed,pm10
2023-02-15 19:00:00,1.6,88.0,0.0,6.8,56.0
2023-02-15 20:00:00,0.2,90.0,0.0,6.8,56.0
2023-02-15 21:00:00,-0.3,90.0,0.0,6.6,49.0
2023-02-15 22:00:00,-0.9,90.0,0.0,5.2,45.0
2023-02-15 23:00:00,-1.3,91.0,0.0,5.8,43.0
2023-02-16 00:00:00,-1.7,92.0,0.0,4.7,40.0
2023-02-16 01:00:00,-2.2,91.0,0.0,3.3,39.0
2023-02-16 02:00:00,-2.3,91.0,0.0,4.6,36.0
2023-02-16 03:00:00,-2.5,90.0,0.0,4.4,36.0
2023-02-16 04:00:00,-2.8,90.0,0.0,3.2,33.0
2023-02-16 05:00:00,-3.1,90.0,0.0,2.6,33.0
2023-02-16 06:00:00,-3.3,89.0,0.0,3.3,35.0
2023-02-16 07:00:00,-3.0,91.0,0.0,4.0,48.0
2023-02-16 08:00:00,1.6,74.0,0.0,3.1,54.0
2023-02-16 09:00:00,5.3,63.0,0.0,1.6,50.0
2023-02-16 10:00:00,7.8,55.0,0.0,1.5,67.0
2023-02-16 11:00:00,9.6,50.0,0.0,1.8,66.0
2023-02-16 12:00:00,10.7,48.0,0.0,1.5,64.0
2023-02-16 13:00:00,11.2,47.0,0.0,3.4,54.0
2023-02-16 14:00:00,10.9,52.0,0.0,4.3,55.0
2023-02-16 15:00:00,9.7,59.0,0.0,6.2,47.0
2023-02-16 16:00:00,7.1,76.0,0.0,8.5,64.0
2023-02-16 17:00:00,4.5,78.0,0.0,6.2,86.0
2023-02-16 18:00:00,2.8,81.0,0.0,4.7,66.0
2023-02-16 19:00:00,2.5,80.0,0.0,4.7,51.0
2023-02-16 20:00:00,1.1,84.0,0.0,4.4,43.0
2023-02-16 21:00:00,0.4,87.0,0.0,5.6,39.0
2023-02-16 22:00:00,-0.5,92.0,0.0,5.5,29.0
2023-02-16 23:00:00,-0.6,92.0,0.0,7.3,19.0
2023-02-17 00:00:00,-1.4,94.0,0.0,7.2,16.0
2023-02-17 01:00:00,-1.2,94.0,0.0,6.5,15.0
2023-02-17 02:00:00,-1.0,95.0,0.0,6.8,16.0
2023-02-17 03:00:00,-0.8,95.0,0.0,7.2,16.0
2023-02-17 04:00:00,-0.5,95.0,0.0,8.4,17.0
2023-02-17 05:00:00,0.0,96.0,0.0,8.9,30.0
2023-02-17 06:00:00,0.3,96.0,0.0,8.4,40.0
2023-02-17 07:00:00,1.1,94.0,0.0,9.3,53.0
2023-02-17 08:00:00,3.9,89.0,0.0,9.0,69.0
2023-02-17 09:00:00,7.3,77.0,0.0,8.3,63.0
2023-02-17 10:00:00,9.7,69.0,0.0,5.9,57.0
2023-02-17 11:00:00,11.7,60.0,0.0,10.7,52.0
2023-02-17 12:00:00,12.9,54.0,0.0,13.4,37.0
2023-02-17 13:00:00,13.2,52.0,0.0,14.1,24.0
2023-02-17 14:00:00,12.9,53.0,0.0,14.1,26.0
2023-02-17 15:00:00,11.9,58.0,0.0,14.4,28.0
2023-02-17 16:00:00,9.9,63.0,0.0,15.1,30.0
2023-02-17 17:00:00,8.3,69.0,0.0,16.1,34.0
2023-02-17 18:00:00,7.3,74.0,0.0,16.4,44.0
2023-02-17 19:00:00,7.1,73.0,0.0,16.1,40.0
2023-02-17 20:00:00,6.3,78.0,0.0,16.2,36.0
2023-02-17 21:00:00,5.6,82.0,0.0,16.4,33.0
2023-02-17 22:00:00,5.1,85.0,0.0,14.2,37.0
2023-02-17 23:00:00,4.6,87.0,0.0,15.3,35.0
2023-02-18 00:00:00,4.2,88.0,0.0,17.9,30.0
2023-02-18 01:00:00,4.0,89.0,0.0,17.8,30.0
2023-02-18 02:00:00,3.8,90.0,0.0,16.5,31.0
2023-02-18 03:00:00,3.7,90.0,0.0,15.0,38.0
2023-02-18 04:00:00,3.6,90.0,0.0,14.0,39.0
2023-02-18 05:00:00,3.3,92.0,0.0,13.1,38.0
2023-02-18 06:00:00,3.1,92.0,0.0,12.6,36.0
2023-02-18 07:00:00,4.4,86.0,0.0,11.3,33.0
2023-02-18 08:00:00,5.5,82.0,0.0,10.8,38.0
2023-02-18 09:00:00,7.1,76.0,0.0,10.9,56.0
2023-02-18 10:00:00,8.4,72.0,0.0,9.7,66.0
2023-02-18 11:00:00,10.0,66.0,0.0,13.0,69.0
2023-02-18 12:00:00,11.2,63.0,0.0,14.8,68.0
2023-02-18 13:00:00,11.8,61.0,0.0,16.6,58.0
2023-02-18 14:00:00,11.4,64.0,0.0,17.2,51.0
2023-02-18 15:00:00,10.5,68.0,0.0,18.3,38.0
2023-02-18 16:00:00,9.2,72.0,0.0,18.2,32.0
2023-02-18 17:00:00,7.8,77.0,0.0,19.5,46.0
2023-02-18 18:00:00,6.8,80.0,0.0,19.2,54.0
2023-02-18 19:00:00,7.0,81.0,0.0,16.3,40.0
2023-02-18 20:00:00,6.0,85.0,0.0,13.8,33.0
2023-02-18 21:00:00,5.2,88.0,0.0,12.8,31.0
2023-02-18 22:00:00,4.7,89.0,0.0,11.1,41.0
2023-02-18 23:00:00,4.5,89.0,0.0,12.9,40.0
2023-02-19 00:00:00,4.5,89.0,0.0,11.7,40.0
2023-02-19 01:00:00,4.2,90.0,0.0,10.2,29.0
2023-02-19 02:00:00,4.0,91.0,0.0,9.6,31.0
2023-02-19 03:00:00,3.7,92.0,0.0,9.0,25.0
2023-02-19 04:00:00,3.4,93.0,0.0,10.5,23.0
2023-02-19 05:00:00,2.9,93.0,0.0,11.1,22.0
2023-02-19 06:00:00,2.8,94.0,0.0,11.0,21.0
2023-02-19 07:00:00,3.9,88.0,0.0,11.6,21.0
2023-02-19 08:00:00,5.2,83.0,0.0,11.1,24.0
2023-02-19 09:00:00,6.9,78.0,0.0,10.5,26.0
2023-02-19 10:00:00,9.8,69.0,0.0,9.3,30.0
2023-02-19 11:00:00,12.3,61.0,0.0,12.6,24.0
2023-02-19 12:00:00,14.0,55.0,0.0,13.2,18.0
2023-02-19 13:00:00,14.8,52.0,0.0,11.2,15.0
2023-02-19 14:00:00,14.9,50.0,0.0,8.3,21.0
2023-02-19 15:00:00,14.2,52.0,0.0,6.0,22.0
2023-02-19 16:00:00,12.4,57.0,0.0,7.2,24.0
2023-02-19 17:00:00,10.3,62.0,0.0,7.2,35.0
2023-02-19 18:00:00,8.7,66.0,0.0,7.6,53.0
2023-02-19 19:00:00,8.0,73.0,0.0,6.9,35.0
2023-02-19 20:00:00,7.4,73.0,0.0,7.1,28.0
2023-02-19 21:00:00,6.1,77.0,0.0,4.8,19.0
2023-02-19 22:00:00,5.1,80.0,0.0,6.0,17.0
2023-02-19 23:00:00,4.1,84.0,0.0,4.0,14.0
2023-02-20 00:00:00,3.1,88.0,0.0,4.3,17.0
2023-02-20 01:00:00,2.8,90.0,0.0,7.3,16.0
2023-02-20 02:00:00,2.6,90.0,0.0,7.4,11.0
